"city","count(*)","avg(price)"
"Mesa",1556,458320.949229
"Staten Island",1535,813207.246254
"New Braunfels",1525,490379.489836
"Oakland",1518,703114.136364
"Vero Beach",1513,682368.084600
"Scottsdale",1509,1642542.002651
"Fresno",1488,470207.787634
"Hollywood",1475,699991.393898
"Oxford",1465,539632.272355
"Wichita",1450,253793.762759
"Sacramento",1450,597167.304828
"Lakeland",1444,346140.137812
"Midland",1439,367989.947186
"Durham",1435,481489.260767
"Greensboro",1435,394069.985826
"Savannah",1427,435795.135249
"Marion",1418,267284.458392
"Spring",1390,539776.437410
"Tulsa",1383,349763.217643
"Newark",1376,412530.781250
"Sevierville",1369,517670.899196
"Albany",1357,237018.904937
"MIDDLETOWN",1354,467954.098227
"Lake Charles",1348,349607.017062
"Clinton",1346,230525.432614
"Panama City",1345,337463.003717
"Odessa",1341,436676.828486
"Macon",1333,274888.609152
"North Pt",1324,71685.920695
"Clayton",1317,407427.391040
"Edmond",1314,460928.870624
"Marietta",1303,527303.653876
"Troy",1297,320069.541249
"Virginia Beach",1293,530355.095901
"Trenton",1284,263089.264798
"Rio Rancho",1279,189209.729476
"Crossville",1275,138043.857928
"Milton",1273,526085.664572
"Reno",1269,755134.569740
"Jasper",1262,264842.686212
"Sebring",1261,183623.866772
"Lake Worth",1241,935659.403707
"York",1208,354544.862583
"Saint Cloud",1207,461680.426678
"Hampton",1205,334566.414938
"Leander",1204,697577.656977
"Long Beach",1203,802871.093101
"Chesapeake",1200,436661.982500
"Homestead",1198,467569.970785
"Riverside",1197,655654.552214
"Prescott",1189,423783.887300
"Lake Placid",1179,157338.623410
"Des Moines",1173,249447.323956
"Delray Beach",1166,1109478.463979
"Palmdale",1151,392711.947871
"Panama City Beach",1149,689851.040035
"Elgin",1149,406895.761532
"Winston Salem",1142,268927.099640
"Newport",1141,401118.010517
"Anderson",1141,280528.313760
"Boynton Beach",1140,526331.666667
"Vancouver",1139,573274.991220
"Meridian",1138,650463.592267
"Shreveport",1137,213037.351803
"Freeport",1127,374337.590949
"Murfreesboro",1118,473178.989121
"Tallahassee",1114,310089.434470
"Leesburg",1113,383608.431267
"Lubbock",1111,335470.425743
"Pompano Beach",1106,596776.692586
"Saint Paul",1102,403211.438294
"Hudson",1101,393240.331517
"Burlington",1097,334160.634458
"Magnolia",1097,472146.061076
"Norfolk",1092,352172.370879
"Benton",1089,194891.602388
"Little Rock",1087,294407.919043
"Ashland",1063,388640.884290
"Fort Pierce",1057,489215.453169
"Midlothian",1055,482727.514692
"Lakewood",1049,509840.860820
"Brooksville",1047,273638.264565
"Citrus Springs",1045,51652.144498
"Anchorage",1042,445446.960653
"Cypress",1033,575592.653437
"Murphy",1033,185051.378509
"Akron",1031,190154.288070
"Princeton",1031,474831.074757
"Winchester",1027,514401.789216
"Lehi",1020,552562.393137
"Sanford",1019,360173.649657
"Fredericksburg",1004,721486.453187
"Dunnellon",1003,151993.634098
"Farmington",1002,367007.704591
"Mount Pleasant",1001,599548.715285
"Peoria",1001,367980.158841
"Augusta",997,239094.272818
"Mount Vernon",987,343417.902736
"Greenwood",987,317316.062817
"Clearwater",986,454618.342292
"Hendersonville",975,368939.815385
"Beaumont",970,395486.077320
"Independence",967,267993.572906
